city_O,city_D
"New York","Washington"
"Washington","New York"
"Chicago","New York"
"New York","Chicago"
"Chicago","Washington"
"Los Angeles","San Francisco"
"Los Angeles","New York"
"San Francisco","Los Angeles"
"Chicago","Los Angeles"
"Minneapolis","Chicago"
"Las Vegas","Los Angeles"
"Honolulu","Los Angeles"
"Washington","Chicago"
"Denver","Washington"
"Washington","Denver"
"Washington","Boston"
"Boston","Washington"
"Portland","Chicago"
"St. Louis","Chicago"
"San Jose","Los Angeles"
"San Francisco","Seattle"
"San Francisco","Chicago"
"San Francisco","New York"
"Chicago","St. Louis"
"Chicago","Minneapolis"
"Chicago","Detroit"
"Chicago","Boston"
"Los Angeles","San Jose"
"Los Angeles","Chicago"
"Los Angeles","Honolulu"
"New York","San Francisco"
"New York","Los Angeles"
"Detroit","Chicago"
"Boston","Chicago"
"Kahului","Kona"
"Washington","Charleston"
"Washington","Atlanta"
"Honolulu","Molokai"
"Atlanta","Washington"
"Washington","Orlando"
"Portland","New York"
"Chicago","Portland"
"New York","Portland"
"Sacramento","Los Angeles"
"Seattle","San Francisco"
"Seattle","Los Angeles"
"Seattle","Denver"
"San Diego","Chicago"
"Palm Springs","San Francisco"
"Chicago","Tampa"
"Chicago","San Francisco"
"Chicago","Seattle"
"Chicago","Orlando"
"Chicago","Fort Lauderdale"
"Chicago","Atlanta"
"Kahului","Los Angeles"
"Orlando","Chicago"
"Los Angeles","Sacramento"
"Los Angeles","Seattle"
"Los Angeles","Kahului"
"Los Angeles","Las Vegas"
"Los Angeles","Kona"
"Los Angeles","Washington"
"Los Angeles","Dallas-fort Worth"
"Los Angeles","Denver"
"Los Angeles","Boston"
"Las Vegas","Chicago"
"Washington","Los Angeles"
"Dallas-fort Worth","Los Angeles"
"Denver","Seattle"
"Denver","Los Angeles"
"Boston","Los Angeles"
"Atlanta","Chicago"
"Kahului","Molokai"
"Molokai","Honolulu"
"Kona","Kahului"
"Phoenix","Minneapolis"
"Salt Lake City","Denver"
"Chicago","Charleston"
"Minneapolis","Denver"
"Washington","Portland"
"Washington","Detroit"
"Detroit","Denver"
"Denver","Salt Lake City"
"Denver","Minneapolis"
"Denver","Detroit"
"Denver","Atlanta"
"Charleston","Chicago"
"Charleston","Washington"
"Houston","Denver"
"Houston","Washington"
"Washington","Houston"
"San Francisco","Denver"
"Denver","San Francisco"
"San Francisco","Boston"
"Orlando","Washington"
"New York","Denver"
"Denver","New York"
"Denver","Boston"
"Boston","Denver"
"Tampa","Chicago"
"Santa Ana","Chicago"
"Salt Lake City","Chicago"
"Salt Lake City","Los Angeles"
"Springfield","Chicago"
"San Francisco","Palm Springs"
"San Francisco","Portland"
"Seattle","Chicago"
"San Diego","Los Angeles"
"Fort Myers","Chicago"
"Raleigh-durham","New York"
"Phoenix","Portland"
"Phoenix","Los Angeles"
"Philadelphia","Chicago"
"Portland","San Francisco"
"Portland","Phoenix"
"Portland","Los Angeles"
"Chicago","Springfield"
"Chicago","San Antonio"
"Chicago","San Diego"
"Chicago","Fort Myers"
"Chicago","Las Vegas"
"Chicago","Houston"
"Chicago","Dallas-fort Worth"
"Chicago","Denver"
"New Orleans","Chicago"
"Orlando","Los Angeles"
"Orlando","New York"
"Lihue","Los Angeles"
"New York","Charlotte"
"Los Angeles","San Diego"
"Los Angeles","Phoenix"
"Los Angeles","Orlando"
"Los Angeles","Lihue"
"Los Angeles","Albuquerque"
"Kona","Los Angeles"
"New York","Raleigh-durham"
"New York","Orlando"
"New York","Fort Lauderdale"
"New York","Boston"
"Houston","Chicago"
"Fort Lauderdale","Chicago"
"Fort Lauderdale","New York"
"Dallas-fort Worth","San Francisco"
"Dallas-fort Worth","Denver"
"Denver","Chicago"
"Denver","Dallas-fort Worth"
"Charlotte","New York"
"Boston","New York"
"Molokai","Kahului"
"Lanai","Honolulu"
"Honolulu","Kahului"
"Minneapolis","Phoenix"
"Atlanta","Denver"
"Tucson","Denver"
"Tampa","Denver"
"Santa Ana","Denver"
"Sacramento","Denver"
"San Jose","Denver"
"San Francisco","San Diego"
"San Francisco","Minneapolis"
"San Francisco","Las Vegas"
"San Francisco","Honolulu"
"San Antonio","Denver"
"San Diego","San Francisco"
"San Diego","Denver"
"Phoenix","Denver"
"Philadelphia","Denver"
"Portland","Denver"
"Omaha","Denver"
"Oklahoma City","Denver"
"New Orleans","Los Angeles"
"New Orleans","Denver"
"Minneapolis","San Francisco"
"Milwaukee","Denver"
"Orlando","Denver"
"Kansas City","Denver"
"Los Angeles","New Orleans"
"Las Vegas","San Francisco"
"Las Vegas","Denver"
"Houston","Charleston"
"Houston","Atlanta"
"Washington","Columbus"
"Honolulu","San Francisco"
"Spokane","Denver"
"Newark","Washington"
"Detroit","Washington"
"Denver","Tucson"
"Denver","Tampa"
"Denver","St. Louis"
"Denver","Santa Ana"
"Denver","Sacramento"
"Denver","San Jose"
"Denver","San Antonio"
"Denver","San Diego"
"Denver","Phoenix"
"Denver","Philadelphia"
"Denver","Portland"
"Denver","Omaha"
"Denver","Oklahoma City"
"Denver","New Orleans"
"Denver","Milwaukee"
"Denver","Orlando"
"Denver","Kansas City"
"Denver","Las Vegas"
"Denver","Houston"
"Denver","Spokane"
"Denver","Austin"
"Denver","Albuquerque"
"Washington","Newark"
"Washington","Cleveland"
"Cleveland","Washington"
"Charleston","Houston"
"Windsor Locks","Washington"
"Austin","Denver"
"Atlanta","Houston"
"Albuquerque","Denver"
"Phoenix","Houston"
"Philadelphia","Houston"
"Houston","Phoenix"
"Houston","Philadelphia"
"New York","Houston"
"Houston","New York"
"Boston","San Francisco"
"Seattle","Portland"
"Seattle","Houston"
"Seattle","Anchorage"
"Portland","Seattle"
"Minneapolis","Los Angeles"
"Houston","Seattle"
"Tucson","Los Angeles"
"San Francisco","Dallas-fort Worth"
"Seattle","Phoenix"
"Louisville","Chicago"
"Santa Barbara","Los Angeles"
"San Antonio","Chicago"
"Rochester","Chicago"
"Reno","Los Angeles"
"Raleigh-durham","Chicago"
"Raleigh-durham","Washington"
"Pittsburgh (pennsylva)","Chicago"
"Phoenix","Seattle"
"Phoenix","Chicago"
"Portland","Eugene"
"Chicago","Santa Ana"
"Chicago","Salt Lake City"
"Chicago","Louisville"
"Chicago","Rochester"
"Chicago","Raleigh-durham"
"Chicago","Pittsburgh (pennsylva)"
"Chicago","Phoenix"
"Chicago","Philadelphia"
"Chicago","Omaha"
"Chicago","New Orleans"
"Chicago","Memphis"
"Chicago","Kansas City"
"Chicago","Indianapolis"
"Chicago","Newark"
"Chicago","Cincinnati"
"Chicago","Columbus"
"Chicago","Cleveland"
"Chicago","Baltimore"
"Chicago","Buffalo"
"Chicago","Nashville"
"Chicago","Windsor Locks"
"Chicago","Austin"
"Omaha","Chicago"
"Monterey","Los Angeles"
"Miami","Chicago"
"Memphis","Chicago"
"Kansas City","Chicago"
"Los Angeles","Tucson"
"Los Angeles","Santa Barbara"
"Los Angeles","Reno"
"Los Angeles","Portland"
"Los Angeles","Monterey"
"Los Angeles","Houston"
"Los Angeles","Fresno"
"Los Angeles","El Paso"
"Los Angeles","Austin"
"New York","Columbus"
"New York","Cleveland"
"New York","Baltimore"
"Indianapolis","Chicago"
"Houston","Los Angeles"
"Houston","Dallas-fort Worth"
"Fresno","Los Angeles"
"Newark","Chicago"
"Eugene","Portland"
"El Paso","Los Angeles"
"Dallas-fort Worth","Chicago"
"Dallas-fort Worth","Houston"
"Dallas-fort Worth","Washington"
"Washington","Miami"
"Washington","Dallas-fort Worth"
"Cincinnati","Chicago"
"Columbus","Chicago"
"Columbus","New York"
"Cleveland","Chicago"
"Cleveland","New York"
"Baltimore","Chicago"
"Baltimore","New York"
"Buffalo","Chicago"
"Nashville","Chicago"
"Windsor Locks","Chicago"
"Austin","Chicago"
"Austin","Los Angeles"
"Albuquerque","Los Angeles"
"Kahului","Lihue"
"Seattle","Seattle"
"Kahului","Honolulu"
"Lihue","Kahului"
"Lihue","Honolulu"
"Honolulu","Lanai"
"Honolulu","Lihue"
"Philadelphia","Orlando"
"Orlando","Philadelphia"
"St. Louis","Denver"
"Phoenix","Milwaukee"
"Milwaukee","Phoenix"
"Phoenix","Detroit"
"Phoenix","Atlanta"
